ignore,date,period,CGST,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW,BIOMASS,INTNEM,INTELEC,INTIFA2,INTNSL
FUELHH,20210628,1,7877,0,494,4332,3639,0,81,1,150,1410,0,390,2,1640,706,0,706,0
FUELHH,20210628,2,7572,0,544,4324,3445,0,78,1,144,1408,0,390,0,1610,706,0,702,0
FUELHH,20210628,3,7429,0,660,4317,3298,0,78,0,144,1408,0,390,0,1606,706,0,702,0
FUELHH,20210628,4,7555,0,702,4316,3221,0,78,1,143,1408,0,390,0,1583,590,0,702,0
FUELHH,20210628,5,7424,0,649,4345,3271,0,77,0,145,1408,0,392,0,1594,706,0,702,0
FUELHH,20210628,6,7243,0,626,4433,3260,0,76,0,146,1408,0,392,0,1589,706,0,702,0
FUELHH,20210628,7,6865,0,535,4441,3433,0,67,0,146,1506,0,392,0,1562,754,0,748,0
FUELHH,20210628,8,6837,0,512,4494,3438,0,53,0,144,1506,0,392,0,1593,756,0,748,0
FUELHH,20210628,9,7029,0,502,4512,3279,0,53,0,147,1506,0,390,0,1635,756,0,702,0
FUELHH,20210628,10,7466,0,516,4461,2792,0,53,0,142,1506,0,388,0,1704,756,0,700,0
FUELHH,20210628,11,7426,0,515,4381,2497,0,53,0,141,1504,0,324,0,1739,756,0,746,0
FUELHH,20210628,12,8354,0,722,4375,2055,0,57,0,168,1508,84,324,0,1781,730,0,756,0
FUELHH,20210628,13,9395,0,844,4375,1968,90,86,1,231,1766,42,330,4,1960,910,0,936,0
FUELHH,20210628,14,11102,0,836,4374,1755,238,103,2,275,1768,0,330,0,2164,728,0,944,0
FUELHH,20210628,15,14415,0,828,4375,1580,0,103,3,314,1944,0,370,0,2239,848,0,898,0
FUELHH,20210628,16,15203,0,918,4370,1523,334,111,2,352,1946,0,370,0,2261,814,0,896,0
FUELHH,20210628,17,15495,0,987,4368,1387,728,263,2,375,2004,0,856,0,2206,998,0,988,50
FUELHH,20210628,18,16051,0,991,4380,1284,930,264,2,374,2004,0,870,0,2200,1000,0,992,68
FUELHH,20210628,19,16408,0,988,4497,1219,966,259,1,366,2004,0,950,0,2176,1000,0,992,68
FUELHH,20210628,20,16493,0,986,4554,1199,954,253,1,374,2004,0,950,0,2147,1000,0,992,64
FUELHH,20210628,21,16543,0,988,4558,1071,1082,217,1,367,2004,0,908,0,2208,720,0,992,0
FUELHH,20210628,22,16661,0,984,4562,1000,1166,208,41,380,2004,0,908,0,2216,716,0,992,0
FUELHH,20210628,23,16831,0,964,4562,1122,552,174,96,466,2004,0,1010,0,2199,790,0,992,0
FUELHH,20210628,24,16939,0,980,4562,1279,182,169,96,382,2004,0,1010,0,2175,792,0,992,0
FUELHH,20210628,25,16908,0,988,4560,1236,192,113,96,354,2004,0,1060,0,2136,998,0,992,0
FUELHH,20210628,26,16883,0,983,4545,1137,138,112,60,292,2004,0,1060,0,2213,1000,0,992,0
FUELHH,20210628,27,16676,0,992,4414,1088,62,97,51,264,2004,0,1004,0,2218,1000,0,992,0
FUELHH,20210628,28,16567,0,991,4389,1022,0,100,50,284,2004,0,1002,0,2215,1000,0,992,0
FUELHH,20210628,29,16546,0,990,4382,936,0,112,51,367,2004,0,820,0,2149,1000,0,992,0
FUELHH,20210628,30,16375,0,980,4407,881,0,127,51,579,2004,0,820,0,2133,1000,0,992,0
FUELHH,20210628,31,16155,0,934,4523,911,88,131,51,581,2004,0,978,0,2128,1000,0,992,0
FUELHH,20210628,32,16324,0,988,4557,892,88,147,51,570,2004,0,980,0,2146,1000,0,992,0
FUELHH,20210628,33,16765,0,990,4548,873,184,263,51,584,2004,0,1002,0,2170,1020,0,992,0
FUELHH,20210628,34,17264,0,994,4494,908,462,268,50,592,2004,0,1002,0,2209,1020,0,992,0
FUELHH,20210628,35,17483,0,986,4494,965,780,303,75,631,2004,0,1060,0,2199,1020,0,992,0
FUELHH,20210628,36,17716,0,985,4509,1057,842,305,96,621,2004,0,1062,0,2212,1020,0,992,0
FUELHH,20210628,37,17783,0,964,4515,1142,762,314,96,640,2004,0,1060,0,2211,1020,0,992,0
FUELHH,20210628,38,17288,0,925,4516,1361,592,314,96,684,2004,0,1060,0,2209,1020,0,992,0
FUELHH,20210628,39,17232,0,929,4515,1376,720,300,69,616,2004,0,902,0,2215,1020,0,992,0
FUELHH,20210628,40,17046,0,916,4529,1529,384,295,39,507,2004,0,900,0,2200,1020,0,992,0
FUELHH,20210628,41,16685,0,926,4533,1685,340,259,8,282,2004,0,692,0,2114,1020,0,992,0
FUELHH,20210628,42,16228,0,921,4530,1929,394,239,0,158,2004,0,690,0,2137,1020,0,992,0
FUELHH,20210628,43,15988,0,901,4527,1999,32,160,1,145,2004,0,704,0,2136,1000,0,992,0
FUELHH,20210628,44,15538,0,785,4525,1993,20,149,1,144,2004,0,704,0,2140,1000,0,990,0
FUELHH,20210628,45,15049,0,407,4525,1892,44,134,1,156,1904,0,722,0,2145,952,0,946,0
FUELHH,20210628,46,14089,0,56,4525,2013,70,133,1,141,1904,0,724,0,2133,952,0,944,0
FUELHH,20210628,47,13033,0,0,4524,1984,0,115,4,142,1708,0,396,54,2216,852,0,850,0
FUELHH,20210628,48,12043,0,0,4525,1773,0,96,2,142,1706,0,390,10,2188,852,0,846,0
FUELHH,20210629,1,11577,0,0,4529,1806,0,75,2,142,1706,14,390,0,2053,852,0,846,0
FUELHH,20210629,2,11173,0,0,4465,1798,0,72,2,144,1706,0,390,0,1861,852,0,846,0
FUELHH,20210629,3,10911,0,0,4444,1797,0,70,1,145,1706,0,390,0,1915,852,0,846,0
FUELHH,20210629,4,10533,0,0,4456,1920,0,70,0,142,1706,0,390,0,2038,852,0,846,0
FUELHH,20210629,5,10269,0,0,4458,1974,0,70,2,142,1706,0,390,0,2119,852,0,846,0
FUELHH,20210629,6,10137,0,0,4506,1960,0,70,0,142,1706,0,390,0,2122,852,0,846,0
FUELHH,20210629,7,9923,0,0,4587,2033,0,70,0,141,1706,0,342,0,2134,852,0,846,0
FUELHH,20210629,8,9833,0,0,4579,1906,0,70,0,158,1706,0,342,0,2128,852,0,846,0
FUELHH,20210629,9,9932,0,0,4579,1755,0,70,0,142,1706,0,218,0,2212,852,0,846,0
FUELHH,20210629,10,9842,0,3,4580,1786,0,70,0,141,1706,0,218,0,2219,852,0,846,0
FUELHH,20210629,11,9781,0,189,4585,1876,0,69,2,140,1726,0,0,0,2213,626,0,872,0
FUELHH,20210629,12,10042,0,290,4587,2113,0,71,3,144,1726,70,0,0,2015,622,0,870,0
FUELHH,20210629,13,11812,0,532,4590,2166,0,97,4,142,1656,20,0,0,2118,544,0,802,0
FUELHH,20210629,14,13717,0,786,4590,2010,0,126,3,142,1654,0,0,0,2189,548,0,804,0
FUELHH,20210629,15,15122,0,851,4588,1955,0,176,3,195,1872,0,0,0,2192,822,0,888,0
FUELHH,20210629,16,16029,0,829,4584,2079,262,181,3,290,1878,0,0,0,2144,824,0,896,0
FUELHH,20210629,17,16318,0,847,4582,1931,400,216,42,393,2002,0,384,0,2134,776,0,986,0
FUELHH,20210629,18,16479,0,962,4582,1738,758,225,95,419,2004,0,414,0,2034,776,0,992,0
FUELHH,20210629,19,16947,0,987,4580,1610,568,229,95,414,1974,0,484,0,2150,924,0,944,0
FUELHH,20210629,20,17006,0,979,4488,1743,560,232,96,414,1974,0,484,0,2106,926,0,942,0
FUELHH,20210629,21,16467,0,987,4467,2072,434,216,7,307,2004,0,610,0,2087,998,0,942,0
FUELHH,20210629,22,16462,0,980,4471,2305,244,216,1,264,2004,0,612,0,2096,998,0,942,0
FUELHH,20210629,23,16628,0,895,4467,2437,684,179,0,256,2004,0,542,0,2004,1000,0,988,0
FUELHH,20210629,24,16804,0,828,4468,2473,184,169,1,261,2004,0,542,0,2084,1000,0,990,0
FUELHH,20210629,25,16837,0,824,4467,2627,0,115,1,236,2004,0,604,0,2110,1000,0,992,0
FUELHH,20210629,26,16816,0,829,4468,2679,0,112,1,216,2004,0,604,0,2108,998,0,992,0
FUELHH,20210629,27,16731,0,820,4480,2922,0,96,1,180,2004,0,544,0,2091,876,0,992,0
FUELHH,20210629,28,16336,0,734,4607,3007,0,98,1,149,2004,0,542,0,2042,874,0,988,0
FUELHH,20210629,29,16241,0,820,4654,2976,0,108,1,148,1708,0,524,0,2143,670,0,916,0
FUELHH,20210629,30,15868,0,801,4652,2832,0,125,1,148,1696,0,520,0,2119,674,0,916,0
FUELHH,20210629,31,15291,0,832,4649,2716,0,135,1,148,1920,0,146,0,2036,982,0,988,0
FUELHH,20210629,32,15335,0,984,4646,2836,70,125,1,223,1922,0,138,0,2121,986,0,992,0
FUELHH,20210629,33,15404,0,989,4647,2764,34,188,2,335,2004,0,440,0,2172,766,0,992,0
FUELHH,20210629,34,15614,0,987,4644,2805,206,191,44,482,2004,0,446,0,2138,766,0,992,0
FUELHH,20210629,35,14948,0,742,4648,3002,706,329,47,502,2004,0,716,0,2051,900,0,992,0
FUELHH,20210629,36,14911,0,730,4642,3206,1178,307,48,503,2004,0,714,0,2091,900,0,992,0
FUELHH,20210629,37,14893,0,726,4647,3255,988,296,40,518,2004,0,392,0,2070,954,0,992,0
FUELHH,20210629,38,14314,0,727,4647,3169,1110,296,3,494,2004,0,386,0,1947,954,0,992,0
FUELHH,20210629,39,15184,0,829,4652,3314,1102,291,2,460,2004,0,344,0,2010,824,0,992,0
FUELHH,20210629,40,15435,0,901,4650,3600,768,273,0,373,2004,0,324,0,2022,822,0,992,0
FUELHH,20210629,41,15402,0,989,4652,3633,840,223,0,373,2004,0,0,0,2035,630,0,992,0
FUELHH,20210629,42,14997,0,981,4653,3701,426,203,1,411,2004,0,0,0,2128,630,0,992,0
FUELHH,20210629,43,14732,0,807,4607,3669,28,132,1,215,2004,0,534,0,2131,616,0,992,0
FUELHH,20210629,44,14518,0,589,4492,3567,16,115,1,147,2004,0,592,0,2060,618,0,982,0
FUELHH,20210629,45,14113,0,266,4485,3472,16,117,1,145,1938,0,618,0,1997,898,0,798,0
FUELHH,20210629,46,12713,0,234,4484,3463,10,118,0,146,1938,0,620,0,1975,902,0,786,0
FUELHH,20210629,47,11468,0,235,4507,3482,22,117,1,146,1612,0,396,0,1987,804,0,798,0
FUELHH,20210629,48,9963,0,236,4623,3331,0,98,1,143,1606,0,394,0,1972,804,0,800,0
FUELHH,20210630,1,9537,0,232,4650,3459,0,73,1,144,1606,14,394,0,2011,802,0,800,0
FUELHH,20210630,2,9090,0,178,4652,3627,0,64,0,145,1606,14,394,0,2012,802,0,800,0
FUELHH,20210630,3,8763,0,0,4649,3614,0,51,1,146,1606,14,394,0,2017,804,0,800,0
FUELHH,20210630,4,8515,0,0,4650,3604,0,51,0,145,1606,14,394,0,2017,804,0,800,0
FUELHH,20210630,5,8238,0,0,4656,3841,0,50,0,144,1608,14,394,0,1996,804,0,800,0
FUELHH,20210630,6,7969,0,0,4701,3811,0,50,0,143,1606,14,392,0,2012,804,0,800,0
FUELHH,20210630,7,8038,0,0,4742,3468,0,48,0,146,1558,14,354,0,2019,800,0,800,0
FUELHH,20210630,8,8182,0,0,4749,3294,0,48,1,143,1558,14,352,0,2011,800,0,800,0
FUELHH,20210630,9,8460,0,0,4743,3203,0,48,1,141,1402,14,224,0,1986,786,0,800,0
FUELHH,20210630,10,8669,0,0,4747,2850,0,50,1,141,1396,14,224,0,1969,786,0,800,0
FUELHH,20210630,11,8764,0,13,4751,3100,0,81,1,141,1606,14,0,0,1966,600,0,798,0
FUELHH,20210630,12,8940,0,188,4753,3537,0,92,1,142,1608,0,0,0,1837,598,0,798,0
FUELHH,20210630,13,10208,0,229,4756,3833,0,109,1,143,1776,0,0,0,1740,694,0,616,0
FUELHH,20210630,14,11866,0,234,4760,3870,0,109,0,145,1778,0,0,0,1859,696,0,608,0
FUELHH,20210630,15,13566,0,582,4755,3579,192,109,2,146,1990,0,0,0,1917,874,0,976,0
FUELHH,20210630,16,14402,0,891,4759,3446,78,110,32,275,2004,0,0,0,1967,876,0,992,0
FUELHH,20210630,17,14903,0,987,4755,3136,62,191,51,448,2004,0,0,0,1967,778,0,992,0
FUELHH,20210630,18,14887,0,994,4754,2865,344,194,51,454,2004,0,0,0,1968,778,0,992,0
FUELHH,20210630,19,14984,0,960,4754,2708,320,194,51,452,2004,0,314,0,1968,978,0,992,0
FUELHH,20210630,20,14950,0,959,4750,2619,280,191,51,455,2004,0,334,0,1969,980,0,992,0
FUELHH,20210630,21,13680,28,1174,4531,3090,416,194,120,654,2004,0,470,0,2098,1000,0,992,0
FUELHH,20210630,22,14973,0,955,4748,2800,394,155,51,456,2004,0,472,0,2009,1000,0,992,0
FUELHH,20210630,23,14917,0,986,4749,2709,254,94,51,375,2004,0,974,0,2047,702,0,986,62
FUELHH,20210630,24,15024,0,860,4748,2565,124,91,51,392,2004,0,986,0,2094,698,0,986,68
FUELHH,20210630,25,15050,0,721,4727,2630,0,91,51,407,2004,0,778,0,2088,880,0,992,68
FUELHH,20210630,26,14968,0,704,4710,2669,0,91,50,409,2004,0,778,0,2019,880,0,992,64
FUELHH,20210630,27,14730,0,700,4711,2860,0,92,51,402,1688,0,772,0,2085,994,0,992,0
FUELHH,20210630,28,14478,0,697,4709,3027,0,101,28,324,1674,0,772,0,2069,994,0,992,0
FUELHH,20210630,29,14378,0,526,4716,2876,66,125,1,270,1652,0,914,0,2021,990,0,990,0
FUELHH,20210630,30,14608,0,541,4728,2665,0,116,1,204,1650,0,914,0,2039,990,0,990,0
FUELHH,20210630,31,14832,0,510,4722,2725,84,114,1,186,1788,0,694,0,2013,942,0,946,0
FUELHH,20210630,32,14899,0,693,4712,2872,74,105,1,177,1790,0,692,0,2062,942,0,946,0
FUELHH,20210630,33,14363,0,963,4721,3141,0,169,1,181,2002,0,856,0,2091,998,0,990,0
FUELHH,20210630,34,14618,0,989,4716,3084,264,174,0,227,2004,0,856,0,2098,998,0,992,0
FUELHH,20210630,35,14578,0,990,4715,3181,760,299,1,224,2004,0,1058,0,2092,1020,0,992,0
FUELHH,20210630,36,14723,0,992,4713,3395,806,303,1,245,2004,0,1062,0,2061,1020,0,992,0
FUELHH,20210630,37,14916,0,991,4712,3262,846,308,1,244,2004,0,1060,0,2032,1020,0,992,0
FUELHH,20210630,38,14992,0,992,4714,3208,802,308,1,228,2004,0,1062,0,2100,1020,0,992,0
FUELHH,20210630,39,14789,0,992,4717,3247,548,322,1,264,2004,0,1060,0,2100,1020,0,992,0
FUELHH,20210630,40,14775,0,994,4716,3266,332,305,1,269,2004,0,1060,0,2097,1018,0,982,0
FUELHH,20210630,41,14792,0,991,4715,3084,434,268,1,266,1994,0,936,0,2101,944,0,794,0
FUELHH,20210630,42,14724,0,990,4712,3002,166,244,1,233,1994,0,936,0,2102,944,0,790,0
FUELHH,20210630,43,14291,0,869,4717,2990,348,117,1,153,2004,0,1002,0,2101,998,0,892,0
FUELHH,20210630,44,14157,0,648,4723,2877,130,117,1,140,2004,0,1002,0,2104,1000,0,896,0
FUELHH,20210630,45,13861,0,488,4729,2846,148,117,2,140,2004,0,954,0,2103,958,0,980,0
FUELHH,20210630,46,12882,0,347,4730,2758,52,115,1,140,2000,0,942,0,2103,956,0,978,0
FUELHH,20210630,47,11988,0,114,4746,2633,150,89,1,140,1710,0,404,0,2102,852,0,852,0
FUELHH,20210630,48,10788,0,0,4771,2687,0,63,2,140,1706,0,390,0,2102,852,0,848,0
FUELHH,20210701,1,9663,0,0,4769,2650,230,55,2,142,1608,0,392,0,2103,804,0,802,0
FUELHH,20210701,2,8998,0,0,4771,2546,178,55,3,142,1606,0,392,0,2101,804,0,800,0
FUELHH,20210701,3,8733,0,0,4774,2488,0,55,1,142,1606,0,392,0,2098,804,0,798,0
FUELHH,20210701,4,8958,0,0,4772,2415,0,55,0,143,1606,0,392,0,2113,804,0,798,0
FUELHH,20210701,5,8990,0,0,4782,2399,0,74,1,142,1608,0,392,0,2129,804,0,800,0
FUELHH,20210701,6,8942,0,0,4781,2542,0,74,1,142,1608,0,392,0,2123,804,0,800,0
FUELHH,20210701,7,8979,0,0,4731,2518,0,74,1,142,1608,0,392,0,2131,804,0,800,0
FUELHH,20210701,8,8749,0,0,4683,2573,0,72,1,141,1608,0,392,0,2133,804,0,800,0
FUELHH,20210701,9,8697,0,0,4679,2595,0,55,1,140,1606,0,392,0,2137,804,0,800,0
FUELHH,20210701,10,8476,0,0,4678,2603,0,54,0,139,1606,0,392,0,2138,804,0,800,0
FUELHH,20210701,11,8478,0,2,4677,2552,0,53,1,151,1598,0,392,0,2141,804,0,800,0
FUELHH,20210701,12,8847,0,194,4677,2548,0,55,3,159,1598,0,392,0,2130,804,0,802,0
FUELHH,20210701,13,10270,0,230,4678,2598,0,81,3,159,1706,0,388,0,2135,852,0,846,0
FUELHH,20210701,14,11858,0,235,4681,2563,0,85,1,160,1706,0,388,0,2134,852,0,848,0
FUELHH,20210701,15,13448,0,381,4684,2545,0,139,1,171,1804,0,948,0,2133,998,0,948,0
FUELHH,20210701,16,14613,0,498,4691,2466,2,152,1,397,1804,0,962,0,2119,1000,0,952,0
FUELHH,20210701,17,15183,0,500,4693,2461,46,241,7,424,2002,0,962,0,2081,1000,0,990,136
FUELHH,20210701,18,14987,0,492,4699,2502,0,236,97,461,2004,0,962,0,2130,998,0,986,382
FUELHH,20210701,19,15137,0,495,4695,2480,192,209,97,490,1500,0,924,0,2128,938,0,896,598
FUELHH,20210701,20,15126,0,480,4698,2335,0,204,97,515,1448,0,924,0,2127,938,0,896,684
FUELHH,20210701,21,14970,0,468,4693,2286,0,121,97,426,1754,0,864,0,2112,978,0,986,682
FUELHH,20210701,22,14877,0,499,4695,2219,0,108,11,342,1766,0,864,0,2125,978,0,990,682
FUELHH,20210701,23,14644,0,502,4693,2164,0,100,1,333,1762,0,912,0,2121,974,0,992,682
FUELHH,20210701,24,14538,0,501,4696,2186,0,100,1,258,1762,0,914,0,2119,974,0,992,682
FUELHH,20210701,25,14384,0,459,4694,2257,0,101,1,144,1814,0,1060,0,2126,1000,0,992,682
FUELHH,20210701,26,14180,0,483,4694,2237,0,100,1,145,1812,0,1060,0,2110,1000,0,992,682
FUELHH,20210701,27,13777,0,487,4694,2273,0,100,1,141,1998,0,1004,0,2056,950,0,982,682
FUELHH,20210701,28,13501,0,437,4693,2274,0,82,1,142,2002,0,1002,0,2065,950,0,980,682
FUELHH,20210701,29,13768,0,498,4693,2234,0,82,1,144,1766,0,904,0,2113,846,0,986,682
FUELHH,20210701,30,13504,0,499,4693,2185,0,82,1,146,1766,0,904,0,2121,846,0,986,682
FUELHH,20210701,31,13427,0,500,4692,2259,0,82,1,145,1668,0,928,0,2117,998,0,962,682
FUELHH,20210701,32,13556,0,591,4687,2357,0,90,1,145,1660,0,926,0,2124,998,0,962,682
FUELHH,20210701,33,13881,0,799,4685,2413,0,148,1,150,1878,0,760,0,2123,928,0,962,682
FUELHH,20210701,34,14498,0,963,4683,2408,10,166,1,162,1880,0,762,0,2120,928,0,964,682
FUELHH,20210701,35,14796,0,989,4682,2291,0,302,1,164,1980,0,1052,0,2097,1018,0,990,682
FUELHH,20210701,36,14921,0,988,4685,2239,280,302,0,194,1980,0,1058,0,2120,1020,0,992,682
FUELHH,20210701,37,15300,0,987,4682,2139,300,314,92,317,1968,0,816,0,2118,976,0,700,682
FUELHH,20210701,38,15448,0,987,4679,1935,454,317,96,320,1968,0,816,0,2141,976,0,700,682
FUELHH,20210701,39,15274,0,986,4679,1928,746,317,98,207,2002,0,1056,0,2126,1020,0,976,682
FUELHH,20210701,40,15251,0,987,4684,1719,818,310,96,285,2004,0,1062,0,2183,1020,0,992,682
FUELHH,20210701,41,15360,0,988,4690,1358,580,255,97,334,2004,0,1062,0,2190,1020,0,992,682
FUELHH,20210701,42,15322,0,989,4691,1117,432,243,97,380,2004,0,1060,0,2194,1020,0,992,632
FUELHH,20210701,43,15376,0,989,4693,1026,544,161,97,376,2004,0,1004,0,2196,1000,0,992,92
FUELHH,20210701,44,15377,0,987,4696,882,294,157,97,276,2004,0,1002,0,2190,1000,0,992,0
FUELHH,20210701,45,15258,0,953,4696,769,130,110,95,170,1984,0,1002,0,2160,1000,0,992,0
FUELHH,20210701,46,14037,0,971,4701,607,144,128,2,152,1984,0,988,0,2139,998,0,988,0
FUELHH,20210701,47,12906,0,986,4699,519,248,114,3,140,1810,0,408,0,2142,902,0,900,0
FUELHH,20210701,48,11907,0,989,4696,507,0,106,4,139,1806,0,392,0,2104,902,0,896,0
FUELHH,20210702,1,11574,0,991,4695,436,0,70,4,141,1806,0,392,0,2132,902,0,896,0
FUELHH,20210702,2,11131,0,990,4694,474,0,70,2,141,1806,0,392,0,2092,902,0,896,0
FUELHH,20210702,3,10728,0,990,4697,435,0,71,3,150,1806,0,392,0,2154,902,0,896,0
FUELHH,20210702,4,10383,0,993,4694,331,0,71,1,142,1806,0,392,0,2196,902,0,896,0
FUELHH,20210702,5,10348,0,992,4698,303,0,71,1,143,1806,0,392,0,2196,902,0,896,0
FUELHH,20210702,6,10410,0,994,4693,285,0,71,1,143,1806,0,392,0,2193,902,0,896,0
FUELHH,20210702,7,10352,0,993,4699,243,0,71,1,143,1806,0,392,0,2202,902,0,894,0
FUELHH,20210702,8,10235,0,995,4696,204,0,71,1,143,1806,0,390,0,2202,900,0,894,0
FUELHH,20210702,9,10240,0,995,4701,196,0,71,1,141,1706,0,392,0,2201,854,0,850,0
FUELHH,20210702,10,10204,0,993,4699,157,0,71,4,140,1706,0,392,0,2202,854,0,848,0
FUELHH,20210702,11,10033,0,955,4700,149,0,71,2,139,1706,0,808,0,2105,842,0,846,0
FUELHH,20210702,12,10492,0,865,4698,161,0,71,2,139,1706,0,816,0,2063,842,0,846,0
FUELHH,20210702,13,11771,0,799,4696,137,0,97,4,139,1994,0,516,0,2013,826,0,958,0
FUELHH,20210702,14,13170,0,859,4697,138,86,121,4,139,1998,0,510,0,1992,826,0,962,0
FUELHH,20210702,15,14258,0,978,4698,137,248,176,3,294,2002,0,988,0,2118,998,0,990,0
FUELHH,20210702,16,14747,0,991,4701,140,518,181,21,624,2002,0,1004,0,2098,1000,0,992,0
FUELHH,20210702,17,15074,0,994,4704,129,1066,321,46,748,2002,0,1002,0,2135,1000,0,992,0
FUELHH,20210702,18,15090,0,996,4708,138,1198,324,47,819,2004,0,1004,0,2151,1000,0,992,138
FUELHH,20210702,19,14927,0,995,4704,136,1268,324,46,793,2004,0,1060,0,2199,1000,0,992,386
FUELHH,20210702,20,14835,0,995,4707,127,778,317,27,808,2002,0,1060,0,2193,1000,0,992,598
FUELHH,20210702,21,14799,0,995,4706,114,392,235,1,920,2002,0,1062,0,2190,1000,0,992,682
FUELHH,20210702,22,14757,0,993,4711,119,236,228,1,648,2004,0,1060,0,2193,1000,0,992,682
FUELHH,20210702,23,14785,0,991,4707,140,88,162,1,538,2002,0,1060,0,2203,1000,0,992,682
FUELHH,20210702,24,14855,0,995,4708,204,0,141,1,536,2002,0,1060,0,2206,1000,0,992,682
FUELHH,20210702,25,14832,0,994,4709,245,114,126,1,563,2002,0,1060,0,2209,1000,0,992,682
FUELHH,20210702,26,14501,0,992,4714,259,102,126,1,595,2002,0,1060,0,2199,1000,0,992,682
FUELHH,20210702,27,14582,0,992,4708,289,0,110,0,495,2002,0,1004,0,2195,902,0,992,682
FUELHH,20210702,28,14671,0,989,4707,335,0,110,0,151,2002,0,1004,0,2108,902,0,992,682
FUELHH,20210702,29,14187,0,898,4709,363,0,111,0,141,2002,0,1002,0,2095,998,0,992,682
FUELHH,20210702,30,13865,0,863,4706,412,0,110,0,141,2002,0,1004,0,2126,998,0,992,630
FUELHH,20210702,31,14322,0,896,4706,424,0,117,0,219,2002,0,1004,0,2158,940,0,992,92
FUELHH,20210702,32,14443,0,951,4704,468,0,126,0,343,2002,0,1004,0,2147,940,0,992,0
FUELHH,20210702,33,14613,0,963,4708,598,0,136,0,369,2002,0,1002,0,2189,1018,0,992,0
FUELHH,20210702,34,14939,0,944,4702,783,106,161,0,413,2002,0,1004,0,2190,1020,0,992,0
FUELHH,20210702,35,15212,0,943,4701,866,280,285,51,424,2002,0,1060,0,2193,1020,0,992,0
FUELHH,20210702,36,15209,0,946,4698,986,628,297,96,457,2002,0,1060,0,2165,1020,0,992,0
FUELHH,20210702,37,15159,0,942,4701,1117,710,344,96,437,2002,0,1062,0,2138,1020,0,992,0
FUELHH,20210702,38,15078,0,938,4698,1158,732,346,96,408,2002,0,1060,0,2121,1020,0,992,0
FUELHH,20210702,39,15032,0,935,4698,1212,558,312,97,404,2002,0,1060,0,2129,1020,0,992,0
FUELHH,20210702,40,14991,0,935,4698,1311,314,296,96,319,2002,0,1058,0,2132,1020,0,992,0
FUELHH,20210702,41,14955,0,945,4696,1337,180,172,96,163,2002,0,1058,0,2137,1020,0,992,0
FUELHH,20210702,42,14639,0,932,4704,1548,0,155,84,140,2002,0,1054,0,2136,1018,0,988,0
FUELHH,20210702,43,14413,0,936,4704,1506,272,122,1,148,1992,0,952,0,2142,912,0,898,0
FUELHH,20210702,44,14071,0,773,4710,1458,36,119,1,217,1992,0,952,0,2143,912,0,898,0
FUELHH,20210702,45,13311,0,690,4712,1557,0,119,2,186,1952,56,1002,0,2143,998,0,986,0
FUELHH,20210702,46,12099,0,695,4710,1646,0,119,0,139,1950,14,1002,0,2143,998,0,986,0
FUELHH,20210702,47,10615,0,697,4711,1660,80,99,9,206,1806,90,906,32,2074,902,0,900,0
FUELHH,20210702,48,9586,0,522,4713,1745,0,80,2,197,1806,188,906,58,2017,902,0,896,0
FUELHH,20210703,1,9364,0,627,4709,1885,0,49,2,141,1610,56,434,0,2035,804,0,804,0
FUELHH,20210703,2,8772,0,511,4711,2070,0,49,1,142,1608,0,420,0,2018,804,0,796,0
FUELHH,20210703,3,8873,0,491,4715,2177,0,49,0,142,1508,0,420,0,1902,754,0,754,0
FUELHH,20210703,4,8947,0,236,4710,2177,0,49,0,151,1508,0,420,0,1923,754,0,752,0
FUELHH,20210703,5,9121,0,0,4710,2136,0,49,0,141,1508,0,420,0,1941,754,0,752,0
FUELHH,20210703,6,8929,0,0,4709,2033,0,50,0,143,1508,0,420,0,1948,754,0,752,0
FUELHH,20210703,7,8871,0,0,4708,1890,0,50,0,179,1508,0,420,0,1935,754,0,752,0
FUELHH,20210703,8,8784,0,0,4706,1917,0,50,0,198,1508,0,420,0,1908,754,0,752,0
FUELHH,20210703,9,8585,0,0,4712,1958,0,50,0,203,1508,0,420,0,1906,754,0,752,0
FUELHH,20210703,10,8358,0,0,4709,2048,0,50,0,183,1508,0,420,0,1905,754,0,752,0
FUELHH,20210703,11,8261,0,0,4708,2073,0,50,0,141,1508,0,420,0,1916,754,0,752,0
FUELHH,20210703,12,8411,0,0,4705,1983,0,51,0,139,1508,0,420,0,1946,754,0,752,0
FUELHH,20210703,13,8677,0,0,4712,1934,0,78,0,139,1506,0,420,0,1921,756,0,752,0
FUELHH,20210703,14,9198,0,0,4710,1974,0,79,0,145,1506,0,420,0,1944,756,0,752,0
FUELHH,20210703,15,9764,0,0,4714,2284,0,79,0,266,1608,0,422,0,1923,804,0,796,0
FUELHH,20210703,16,10617,0,125,4714,2350,98,96,0,240,1606,0,430,0,1984,804,0,802,0
FUELHH,20210703,17,11028,0,458,4716,2545,4,123,0,218,1802,0,892,0,2011,900,0,892,0
FUELHH,20210703,18,11526,0,836,4719,2684,0,129,0,173,1804,0,906,0,2020,902,0,896,0
FUELHH,20210703,19,11448,0,990,4724,2840,0,221,0,240,2002,0,1002,0,1950,998,0,986,0
FUELHH,20210703,20,11653,0,989,4725,2847,0,230,0,218,2004,0,1004,0,2032,994,0,992,0
